pregunta,respuesta
¿Se puede consultar información de las obras de arte presentadas como pago en especie en el SAT?,En el Registro de Consulta Público encontrarás toda la información historica y actual de las obras que han sido recibidas como pago en especie en el SAT.
¿Existe un listado de museos autorizados para recibir pago en especie?,"El SAT no cuenta con un listado de museos autorizados para recibir pago en especie, tu puedes elegir cualquier museo considerando que éste debe pertenecer a la Federación a una Entidad Federativa, Municipio u organismo descentralizado de alguno de ellos, reconocido por la autoridad cultural competente."
¿Que tipo de obras puedo donar o entregar en un museo para pagar mis impuestos?,"Las obras de arte que puedes donar o entregar para su exhibición y conservación, depende del tipo de obras que realices, pueden ser pinturas, grabados y esculturas o en su caso, obras distintas a las anteriores como instalaciónes, arte digital y fotografía.No quedan comprendidas las obras industriales, artesanales, utilitarias, cinematográficas, artes aplicadas, diseño industrial o de arquitectura.Debes donar o entregar para su exhibición o conservación una obra de arte con las características de tamaño y técnica similares a las obras que haz vendido o producido en los tres últimos años."
¿Cualés son las opciones de donación o entrega a museo para pago en especie?,"Las opciones de donación o entrega a museo son las siguientes:Si las obras de arte son pintura, escultura o grabado, tienes la opción de que a partir de 2 obras que deban entregarse en pago, una sea donada al museo debiendo entregar las obras restantes al SAT (artículo Tercero del Decreto).Si se trata de obras de arte distintas a la pintura, escultura o grabado, las obras que le correspondan pagar ( de 1 a 6) pueden entregarse para su exhibición y conservación al museo de arte contemporáneo (artículo Décimo Segundo del Decreto).Donación de 5 a 30 obras de arte según corresponda el 500% sobre el tabulador, a museo establecido en México, solo en este caso, aplica la liberación de pago por los dos años siguientes al que se declara, sin embargo, el artista queda sujeto a presentar declaración anual cada año. (artículo 7-C de la Ley del SAT)."
Si vivo en la Ciudad de México ¿Puedo donar o entregar para su exhibición y conservación una obra en otro estado de la República?,"Si puedes donar o entregar para su exhibición y conservación obras en cualquier estado de la República, solo recuerda que el museo que elijas debe pertenecer a la Federación, Estado, Municipio u organismo descentralizado de alguno de los anteriores, reconocido por la autoridad cultural competente."
¿Cómo presento mi declaración anual de ISR?,"La deberás presentar mediante buzón tributario, acompañando la constancia de aceptación de la obra o bien."
¿Quiénes presentan la forma oficial 59?,Las empresas dedicadas a la construcción y venta de casa habitación.
¿Cuándo no obtienes el beneficio fiscal en materia de vivienda?,Cuando presentas las declaraciones informativas normales o complementarias extemporáneamente.
"¿La aplicación de las facilidades establecidas, dará lugar a devolución, compensación, acreditamiento o saldo a favor alguno?",No.
¿Tiene alguna consecuencia si presento mi Declaración Anual fuera del periodo establecido?,"Presentar la Declaración Anual de pago en especie en ceros fuera del periodo establecido, se entenderá que abandonas la opción de pago en especie, a no ser que presentes la declaración después de dicho plazo, acompañando una obra por cada cuatro meses o fracción de retraso."
¿Qué pasa si no he vendido obras en varios años?,"Solamente debes presentar tu Declaración Anual en ceros en tiempo y forma o en su caso, puedes presentar el Aviso de Término y en caso de vender obras posteriormente, puedes retomar esta opción de pago, presentando el Aviso de Inicio respectivo."
"¿Si tengo que viajar al extranjero por un periodo largo, como debo presentar la Declaración Anual?","En caso de contar con un representante legal, este puede presentar la Declaración Anual en tu nombre, siempre y cuando acredite su personalidad con el poder notarial que lo faculte a realizar trámites ante el SAT.Si no tienes un representante legal, cuando regreses al país puedes presentar la Declaración Anual correspondiente al ejercicio fiscal omiso y por ser extemporánea debes presentar una obra por cada cuatro meses o fracción de retraso."
¿Quiénes lo deben pagar o declarar?,"Las personas físicas que: Presten servicios profesionales; Renten bienes inmuebles; Realicen actividades comerciales, industriales, agropecuarias, ganaderas y silvícolas.Las personas morales que sean sujetos del impuesto sobre la renta, como: Sociedades mercantiles; Sociedades civiles; Sociedades cooperativas de producción, asociaciones en participación, entre otras."
¿Quiénes no están obligados a pagarlo ni a declararlo?,"No están obligados a declarar ni a pagar el impuesto empresarial a tasa única la mayoría de las personas que no están obligadas al pago del impuesto sobre la renta, como son, entre otras:Los asalariados.Las dependencias de gobierno.Los partidos políticos y sindicatos.Las personas autorizadas para recibir donativos deducibles del impuesto sobre la renta.Las cámaras de comercio e industria, y las agrupaciones de profesionales.Las personas con actividades agropecuarias, ganaderas o silvícolas hasta por los límites que se encuentran exentos en la Ley del Impuesto sobre la Renta y siempre que dichas personas estén en el RFC."
¿Qué tasa del impuesto se aplica y sobre qué base?,A la totalidad de los ingresos obtenidos efectivamente en un ejercicio menos (restar) las deducciones autorizadas del mismo periodo.Al resultado aplicar la tasa de 16.5% en 2008; del 17% en 2009 y del 17.5% a partir del 2010.
¿A quién se le considera un trabajador de primer empleo?,"Es aquel trabajador que no tenga registro previo de aseguramiento en el régimen obligatorio ante el IMSS, por no haber prestado en forma permanente o eventual un servicio remunerado, personal y subordinado a un patrón."
¿Qué información deben proporcionar los patrones para aplicar la deducción adicional por contrato de trabajadores de primer empleo para ocupar puestos de nueva creación?,Los patrones deben presentar la siguiente información: 1) El nombre completo; 2) El número de seguridad social; 3) La clave única de registro de población; 4) El registro federal de contribuyentes; 5) El monto del salario base de cotización con el que se encuentran registrados ante el IMSS; 5) El monto de las cuotas de seguridad social pagadas.
"Los patrones que hubieran establecido puestos de nueva creación para ser ocupados por trabajadores de primer empleo, ¿Cuánto tiempo pueden gozar de este beneficio?","Tendrán el beneficio hasta por un periodo de 36 meses continuos contados a partir del momento en que sean creados, plazo durante el cual el puesto deberá ser ocupado por un trabajador de primer empleo."
¿Qué necesito para presentar las declaraciones?,Para ingresar a la declaración debes contar con tu RFC y contraseña o en su caso la e.firma. El envío se realizará utilizando la e.firma
¿Qué explorador se recomienda utilizar para presentar las declaraciones?,"Chrome, Firefox, Safari y Edge."
¿Quiénes deben presentar estas declaraciones?,Las personas morales que realicen pagos a sus trabajadores.
¿Qué es el servicio de Declaraciones y Pagos?,"Es una aplicación electrónica para que presentes tus pagos provisionales o definitivos del ISR, IVA o IEPS, incluyendo retenciones, a través de medios y formatos electrónicos, así como complementarias, extemporáneas y de corrección fiscal, por medio del portal del SAT."
¿Puedo presentar declaraciones de años anteriores en el Servicio de Declaraciones y Pagos?,"Sí, se pueden presentar declaraciones normales extemporáneas o complementarias."
¿Cómo ingreso a la declaración?,Selecciona el botón Iniciar. Proporciona tu RFC y Contraseña o e.firma.
"¿Cómo debo presentar las declaraciones de pagos provisionales correspondientes a mi régimen vigente, para cumplir con lo dispuesto en el Artículo Segundo Transitorio de la Sexta Resolución de Modificaciones a la Resolución Miscelánea Fiscal 2022?","Si antes del 1° de agosto presentaste el “Aviso de actualización de actividades económicas y obligaciones” para tributar desde el inicio del ejercicio en el Régimen general de Ley, abandonando el Régimen Simplificado de Confianza para personas morales, a más tardar el 19 de septiembre debes presentar una declaración provisional de tipo Normal, seleccionando para tal efecto el concepto “ISR personas morales”, por cada uno de los periodos que tengas omisos.Te sugerimos que previo a presentar la declaración de pago provisional de agosto, presentes la correspondiente a enero y subsecuentes. Para lo anterior, a fin de que el aplicativo se actualice y precargue tu información, entre la presentación de cada declaración deberán transcurrir:24 horas cuando no se requiera pago.48 horas posteriores al pago en caso de requerirse.Fundamento legal: Arts. 14 y 211 de la Ley del Impuesto sobre la Renta, Reglas 3.9.16. y 3.13.18. de la Resolución Miscelánea Fiscal para 2023, artículo Segundo Transitorio de la Sexta Resolución de Modificaciones a la Resolución Miscelánea Fiscal para 2022."
"Actualicé lo dispuesto en el Artículo Segundo Transitorio de la Sexta RMRMF para 2022, ¿Cómo puedo disminuir en mis pagos provisionales que presentaré, los pagos efectuados mediante las declaraciones del régimen que abandoné?","En las declaraciones que presentes en el régimen vigente podrás disminuir los pagos provisionales efectuados en el régimen que abandonaste, en la sección de “Pago” contenida en el aplicativo de la declaración de pagos provisionales de “ISR personas morales”, conforme a lo siguiente:Responde “Sí” a la pregunta “¿Tienes compensaciones por aplicar?”.Se mostrará el campo “Compensaciones”.Selecciona el botón de “Detalle” para que se habilite el apartado donde registrarás los datos de la declaración que pagaste seleccionando la opción “Pago de lo indebido”.Registra la información solicitada.Cuando finalices el procedimiento anterior, podrás regresar a la pantalla principal de la sección de “Pago” donde verás disminuido el monto del pago del periodo a presentar.Fundamento legal: Regla 2.8.3.1. de la Resolución Miscelánea Fiscal para 2023, artículo Segundo Transitorio de la Sexta Resolución de Modificaciones a la Resolución Miscelánea Fiscal para 2022."
"Obtuve autorización para aplicar, a partir del segundo semestre, un coeficiente de utilidad menor para determinar mis pagos provisionales, ¿Cómo puedo registrar el coeficiente de utilidad que me autorizaron?","A partir de julio, en la herramienta electrónica para pagos provisionales puedes realizar el siguiente procedimiento:Se muestra la pregunta “¿Tienes autorización para aplicar un coeficiente de utilidad menor?” a la cual debes responder Sí.Se mostrará el campo “Coeficiente de utilidad autorizado”, da clic en el botón “Capturar” y registra el número y fecha del oficio mediante el cual se te autorizó la disminución del coeficiente de utilidad.Realizado lo anterior, la declaración precargará el coeficiente de utilidad que se te autorizó en el oficio.Para lo anterior, es importante tomes en cuenta que:Debes capturar en los campos de la declaración los datos que se encuentran en el oficio de autorización:La información de las autorizaciones emitidas se actualiza una vez a la semana, por lo que sugerimos esperes a que la información se precargue en la declaración.Adicionalmente, se efectuará otra actualización un día antes de la fecha de vencimiento de la obligación para presentar la declaración del periodo que corresponda.Verifica para qué periodos del segundo semestre se autorizó la disminución del coeficiente de utilidad.Deberás capturar en todos los periodos autorizados la información del oficio.En aquellos periodos que no se haya autorizado la disminución del coeficiente de utilidad, aún y cuando captures la información, no se mostrará dato en el campo “Coeficiente de utilidad autorizado”.Fundamento legal: Artículos 14, último párrafo, inciso b) de la Ley del Impuesto sobre la Renta, 10 y 14 del Reglamento de la Ley del Impuesto sobre la Renta."
¿Puedo presentar mi declaración de ejercicios posteriores a 2017?,"No, actualmente sólo te permite consultar tu declaración por retorno de inversiones, así como la reimpresión del acuse de recibo de la misma."
¿Qué explorador se recomienda utilizar para consultar el visor?,"Chrome, Firefox, Safari y Edge."
¿Quiénes pueden consultar el visor?,Las personas morales que tributan en el régimen general y las personas morales con fines no lucrativos por sus actividades empresariales o prestación de servicios.
¿En el visor de facturas puedo consultar el detalle de las facturas?,"En este aplicativo no puedes consultar el detalle de las facturas, para ello deberás de ingresar a la consulta de facturas, disponible en el apartado de “Factura electrónica”, ubicado en la página principal del SAT."
¿Cómo sé si estoy obligado a presentar esta declaración?,"Si eres Persona física y moral residente en el extranjero sin establecimiento en México que proporciones:Servicios digitales.Servicios digitales de intermediación (plataformas tecnológicas, aplicaciones informáticas y similares).Estás obligado a presentarla."
¿A qué fecha está la información que se está precargando en la declaración?,Al ingresar al aplicativo te muestra las fechas de corte de los pagos provisionales y de los CFDI’s de nómina.
¿Qué explorador se recomienda para esta nueva herramienta?,Google Chrome y Firefox.
¿Cuál es la forma correcta de navegar dentro de la declaración?,"El aplicativo tiene un orden lógico de navegación, por lo que deberás ingresar a la pestaña de Ingresos y hasta que llenes los datos obligatorios, te permitirá pasar a la pestaña de Deducciones y así sucesivamente hasta llegar a la última pestaña que es la de Datos adicionales."
¿En cuánto tiempo se verá precargada la información de diciembre?,"Si no tuviste cantidad a pagar, en 24 horas podrás ver la información.Si tuviste línea de captura, una vez pagada en un máximo de 48 horas podrás ver la información."
¿Qué necesito para presentar las declaraciones?,Para ingresar a la declaración debes contar con tu RFC y contraseña o en su caso la e.firma. El envío se realizará utilizando la e.firma.
¿Quiénes deben presentar estas declaraciones?,Las personas morales obligadas a retener el Impuesto al Valor Agregado.
¿Qué obligaciones debo presentar a través de esta declaración?,A través de esta declaración deberás de enterar las retenciones de IVA que realices en el ejercicio 2022.
¿A partir de qué periodo debo presentar estas declaraciones?,"A partir del periodo de enero 2022, el cual se presenta a más tardar el 17 de febrero del mismo año."
"Soy una persona moral, ya presenté mi Declaración Anual del ejercicio 2023, ¿cuál es la fecha límite para realizar el pago de la línea de captura generada por el aplicativo sin que se generen recargos por pago extemporáneo?","Recuerda que para la Declaración Anual 2023 de personas morales, la fecha límite para presentar y pagar la declaración es el 1 de abril de 2024. Para evitar que se te generen recargos a cargo y otras sanciones, debes realizar el pago de la línea de captura a más tardar en esa fecha."
¿Cuál es el procedimiento para adjuntar en la declaración anual “Normal” el archivo ISSIF?,"Para adjuntar el archivo ISSIF en la declaración anual realiza los siguientes pasos:Ingresa a la herramienta tecnológica para presentar la declaración anual de personas morales, en la configuración de la declaración debes seleccionar tus obligaciones incluyendo la ISSIF, para esto selecciona la casilla con el texto “Está obligado a presentar la información sobre su situación fiscal, de acuerdo al artículo 32-H del CFF”, posteriormente da clic en el botón “Siguiente”.En la sección “Administración de la declaración” se muestra la obligación “Información sobre Situación Fiscal” da clic en la misma para continuar.En el apartado de “Información sobre Situación Fiscal” da clic en el botón “Examinar”, selecciona el archivo ISSIF que adjuntarás en la declaración y se iniciará un proceso de validación del archivo. Identifica que el archivo de la ISSIF que adjuntarás en la declaración corresponda al mismo tipo de declaración, régimen al que perteneces y ejercicio de la declaración anual.Concluido este proceso de validación, la aplicación de la declaración anual te indicará si el archivo ISSIF es correcto.En caso de que no puedas adjuntar tu archivo ISSIF, en la página del Servicio de Administración Tributaria (SAT) consulta el “Manual de usuario” el cual se encuentra disponible en “Otros trámites y servicios / Descarga el ejecutable para el llenado de tu Información sobre situación fiscal ISSIF (32H-CFF) 2018 a 2021” o bien da clic en el siguiente archivo en formato PDF."
"¿Cómo se debe adjuntar el archivo ISSIF en la declaración anual complementaria, si en declaraciones anteriores no seleccione la obligación?","Cuando no hayas seleccionado en declaraciones anteriores la obligación de la ISSIF debes efectuar el siguiente procedimiento:Presenta una declaración complementaria de dejar sin efectos, por cada declaración que hayas presentado del ejercicio sin dicha obligación. Para ello, considera las declaraciones de tipo Normal, Complementaria de modificación y Complementaria de declaración no presentada.Presenta una declaración del tipo “Complementaria” de “Declaración no presentada”, en la configuración de la declaración selecciona la casilla “Está obligado a presentar la información sobre su situación fiscal, de acuerdo al artículo 32-H del CFF”, una vez seleccionadas tus obligaciones a declarar da clic en el botón “Siguiente”.Continua con el procedimiento que se describe en la pregunta “1”."
Soy una persona moral que está iniciando con la liquidación de la sociedad ¿en qué formato de declaración debo presentar la declaración anual por terminación anticipada del ejercicio?,"La declaración anual por terminación anticipada del ejercicio la deberás presentar en el formato de declaración correspondiente al régimen en el que te encuentres tributando, por ejemplo, si eres una persona moral que tributas en el régimen de los coordinados, deberás presentar tu declaración por terminación anticipada en el formulario 24 ISR Personas morales del régimen de los coordinados."
¿En qué declaración debo presentar mi declaración anual por el ejercicio de liquidación o la última declaración del ejercicio de liquidación?,Estas declaraciones las deberás presentar en la herramienta de declaración prellenada denominada “Declaración anual personas morales. Régimen general”.
¿Qué necesito para poder ingresar a la declaración?,Debes tener tu RFC y contraseña o en su caso la e.firma.
¿Qué explorador se recomienda utilizar?,"Chrome, Firefox, Safari y Edge."
"¿Cambiaron las URL donde se depositan los documentos de las entidades sin cuenta SATCLOUD (nuevos usuarios) o con cuenta de SATCLOUD con cambio en sus datos, respecto a la solicitud realizada en el ejercicio de la declaración 2022 o anteriores?","Las URL y contraseñas sí cambiaron, estas se encuentran dentro del Instructivo, manual y especificaciones para la presentación de intereses 2024, apartado Procedimiento de entrega de documentación para el trámite y renovación de cuenta de SATCLOUD."
"Para las declaraciones informativas de intereses que se presenten a partir del año 2023, ¿Cuál es el medio de presentación que se utilizará?",El medio de presentación será electrónico a través de la herramienta denominada SATCLOUD.
¿En qué fecha inicia la presentación de la información de intereses a través de SATCLOUD?,La recepción de la información inicia el 1 de febrero de 2024.
¿Cuánto dura el proceso de creación y liberación de la cuenta como usuario de SATCLOUD?,"El proceso de creación y liberación del usuario SATCLOUD no es inmediato, puede demorar hasta 5 días hábiles a partir de la fecha de recepción de la carta responsiva. La conclusión del trámite será notificada al correo electrónico registrado en la carta responsiva."
"¿Cambiaron las URL donde se depositan los documentos de las entidades sin cuenta SATCLOUD (nuevos usuarios) o con cuenta de SATCLOUD con cambio en sus datos, respecto a la solicitud realizada en el ejercicio de la declaración 2022 o anteriores?","Las URL y contraseñas sí cambiaron, estas se encuentran dentro del Instructivo, manual y especificaciones para la presentación de fideicomisos 2024, apartado Procedimiento de entrega de documentación para el trámite y renovación de cuenta de SATCLOUD."
"Para las declaraciones informativas de fideicomisos que se presenten a partir del año 2023, ¿Cuál es el medio de presentación que se utilizará?",El medio de presentación será electrónico a través de la herramienta denominada SATCLOUD.
¿En qué fecha inicia la presentación de la información de fideicomisos a través de SATCLOUD?,La recepción de la información inicia el 1 de febrero de 2024.
¿Cuánto dura el proceso de creación y liberación de la cuenta como usuario de SATCLOUD?,"El proceso de creación y liberación del usuario SATCLOUDno es inmediato, puede demorar hasta 5 días hábiles a partir de la fecha de recepción de la carta responsiva. La conclusión del trámite será notificada al correo electrónico registrado en la carta responsiva."
¿Qué se entiende por depósitos en efectivo?,"Los depósitos en moneda nacional o extranjera que se realicen en cualquier tipo de cuenta que las personas físicas o morales tengan a su nombre en las Instituciones del Sistema Financiero, así como las adquisiciones en efectivo de cheques de caja."
¿Qué no se considera depósito en efectivo?,"No se considerarán depósitos en efectivo, los que se efectúen a favor de personas físicas o morales mediante transferencias electrónicas, traspasos de cuenta, títulos de crédito o cualquier otro documento o sistema pactado con Instituciones del Sistema Financiero en los términos de las leyes aplicables, aun cuando sean a cargo de la misma Institución que los reciba."
¿Qué obligación cumplo al presentar la declaración anual de depósitos en efectivo?,La obligación de informar los depósitos en  efectivo que se realicen en las cuentas abiertas a nombre de los contribuyentes en las Instituciones del Sistema Financiero.
¿Cómo presento mi declaración mensual de depósitos en efectivo?,"Para el ejercicio 2022, en el mes de diciembre de dicho año, deberás presentar la información correspondiente a los meses anteriores del mismo ejercicio.Para 2023 y ejercicios posteriores, deberás presentar tu declaración, a más tardar el último día del mes de calendario inmediato siguiente al que corresponda, de acuerdo a lo señalado en la regla 3.5.21. de la RMF vigente."
¿Puedo capturar de forma masiva la información para la presentación de la declaración de depósitos en efectivo?,"Sí, el aplicativo considera una opción para realizarlo de manera masiva, la cual identificarás como “Agregar desde archivo”, para realizar la importación de tu información.En la sección de Contenidos Relacionados, podrás consultar el instructivo para la creación del archivo de carga masiva."
"Si no cuento con la clave de RFC del titular o cotitular de la cuenta, así como del adquirente en efectivo de cheques de caja, por razones no imputables a la institución, ¿qué dato debo capturar?",Deberás utilizar las claves de RFC genéricas siguientes:XAXX010101000: Para personas físicas sin RFC.EXTF990101000: Para personas físicas extranjeras.EXT990101000: Para personas morales extranjeras.
¿Cómo debe realizarse el envío de la Declaración Informativa de Operaciones realizadas por cuenta de los Integrantes del Consorcio Petrolero?,El envío debe realizarse con e.firma.
¿Qué información se presentará en la Declaración Informativa de Operaciones realizadas por cuenta de los Integrantes del Consorcio petrolero?,La información que conste en los comprobantes fiscales que amparen las operaciones realizadas por cuenta de los integrantes del consorcio.
"¿De qué tipo de proveedores, el operador del consorcio deberá presentar la información en la Declaración Informativa de Operaciones realizadas por cuenta de los Integrantes del Consorcio petrolero?",Proveedores nacionales o extranjeros.
¿Cómo presento mi declaración informativa?,"A través de la aplicación descargable forma 86-A, la cual encontrarás en el portal del SAT."
"¿Puedo presentar operaciones menores a los 600,000.00 pesos?","Aunque los campos de importes en la forma oficial 86-A acepta cantidades inferiores, sólo deberán informarse las operaciones superiores a los 600,000.00 pesos."
¿La forma oficial 86-A puede presentarse mediante medio magnético?,"No, la única forma para presentar la forma 86-A será a través de la página de Internet del SAT, en el apartado correspondiente."
¿Cómo presento mi declaración?,"Se podrá presentar a través del Portal del SAT, por cada declaración y la fecha de presentación será aquélla en que el SAT la reciba."
¿Cuál es el procedimiento a seguir si mis declaraciones no fueron aceptadas?,"Se podrán enviar nuevamente por la misma vía, dentro de los dos días siguientes a la fecha en que se le comunique la no aceptación, para que una vez aceptada se considere presentada en tiempo."
¿Mi e.firma debe estar vigente para presentar la declaración?,"Sí, la e.firma debe estar vigente para la presentación de la declaración en línea y en papel, de lo contrario no podrás generar los archivos que la integran, y en su caso, se tendrá por no enviada cuando se presente vía Portal de internet del SAT."
¿Cómo puedo obtener el programa DIM?,El programa DIM lo puedes obtener en el Portal de internet del SAT u opcionalmente en medios magnéticos en la Administración Desconcentrada de Servicios al Contribuyente que corresponda a tu domicilio fiscal.
¿Cuándo puedo presentar mi declaración en la Administración Desconcentrada que me corresponda?,"Cuando hayas  capturado más de 40,000 registros."
¿Cuándo puedo presentar mi declaración en el Portal de internet del SAT?,"Cuando hayas  capturado hasta 40,000 registros en el anexo 4 de la DIM."
¿Qué conceptos se consideran como intereses?,"Cualquiera que sea el nombre con que se les designe, a los rendimientos de créditos de cualquier clase, los rendimientos de la deuda pública, de los bonos u obligaciones, incluyendo descuentos, primas y premios: los premios de reportos o de préstamos de valores; el monto de las comisiones que correspondan con motivo de apertura o garantía de créditos; el monto de las contraprestaciones correspondientes a la aceptación de un aval, del otorgamiento de una garantía o de la responsabalilidad de cualquier clase, excepto cuando dichas contraprestaciones deben hacerse a instituciones de seguros o fianzas; la ganancia en la enajenación de bonos, valores y otros títulos de crédito, siempre que sean de los que se colocan entre el gran público inervsionista, conforme a las reglas generales que al efecto expida el Servicio de Administración Tributaria."
¿Qué pasos debo seguir en caso de que mi trámite no se encuentre activo en buzón tributario?,"Deberás presentar un escrito libre por duplicado, acompañado de original y copia de cualquier identificación oficial con fotografía vigente expedida por autoridad competente y en caso de actuar por representación legal, copia fotostática del poder notarial o carta poder en original firmada ante dos testigos y ratificadas las firmas ante las autoridades fiscales, notario o fedatario público.Tratándose de residentes en el extranjero o de extranjeros residentes en México, deberán acompañar copia certificada y fotocopia del documento notarial con el que haya sido designado el representante legal para efectos fiscales."
¿En qué medios debo presentar mi información?,"En caso de que el trámite no se encuentre activo en el Buzón Tributario, el contribuyente deberá observar lo establecido en la regla 1.6 de la Resolución Miscelánea Fiscal para 2019."
¿Cómo presento mi declaración informativa?,Se presentatravés del Portal del SAT mediante un caso de aclaración.
¿Cuándo se presenta?,A más tardar el 15 de febrero de cada año.
¿Cómo presento mi declaración informativa?,"Se deberá presentar a través del Buzón Tributario, o bien podrá presentarse mediante escrito libre firmado y presentarlo ante la ADSC, de conformidad con lo establecido en las reglas 1.6 y 2.2.6 de la RMF."
"¿Para efectos de determinar la base de los derechos de extracción de hidrocarburos, los condensados y el gas natural se deben considerar como conceptos distintos?","Sí, se deberán considerar como conceptos distintos de acuerdo a los artículos 3, fracción IV y al artículo 4, fracción XVII de la ley de Hidrocarburos."
¿Cuándo se deberá realizar el pago del derecho de extracción de hidrocarburos?,"Mensualmente, a más tardar el día 25 del mes inmediato posterior a aquél que corresponda el pago, de conformidad con el artículo 7, fracción II de la Ley de Ingresos de la Federación para el ejercicio 2021."
¿Cómo deberán de presentarse las declaraciones de pago provisional del derecho de extracción de hidrocarburos?,"Vía Internet, a través de una aclaración que se presente en el Portal de Internet del SAT, debiendo acompañar la forma oficial “DEXTH”, contenida en el Anexo 1 de la RMF, así como el comprobante de pago respectivo."
¿Cómo se determinará el derecho de exploración de hidrocarburos cuando sea por fracción de mes?,"La cuota correspondiente a dicha fracción se calculará dividiendo el importe de la cuota entre el número de días del mes de calendario al que corresponda el pago; el cociente así obtenido se multiplicará por el número de días de vigencia de la asignación, y el resultado será la cuota a aplicar por dicha fracción de mes."
¿Las cuotas por el derecho de exploración de hidrocarburos se actualizarán?,"Sí, se actualizarán cada año en el mes de enero, de acuerdo a la variación en el Índice Nacional de Precios al Consumidor en el año anterior."
¿Cómo deben presentarse las declaraciones de este derecho?,"Vía Internet, a través de una aclaración que se presente en el Portal de Internet del SAT, debiendo acompañar la forma oficial “DEXPH”, contenida en el Anexo 1 de la RMF, así como el comprobante de pago respectivo."
¿Para efecto del cálculo de los pagos provisionales mensuales del derecho por la utilidad compartida se podrá disminuir los derechos de exploración y extracción de hidrocarburos efectivamente pagado?,"Sí, únicamente se podrán disminuir para el cálculo de los pagos provisionales mensuales del derecho por la utilidad compartida, en los términos del artículo 42, fracción II de la Ley de Ingresos Sobre Hidrocarburos."
¿Cómo deben presentarse las declaraciones de pago provisional del derecho por utilidad compartida?,"Vía Internet, a través de una aclaración que se presente en el Portal de Internet del SAT, para lo cual deberá acompañar la forma oficial “DUC-M”, contenida en el Anexo 1 de la RMF, así como el comprobante de pago respectivo."
¿Cuándo deben presentarse los pagos provisionales del derecho por la utilidad compartida?,"Mensualmente, a más tardar el día 25 del mes posterior a aquél a que corresponda el pago, de conformidad con el artículo 7, fracción I de la Ley de Ingresos de la Federación para el ejercicio 2021."
"¿En qué consiste el estímulo a las Entidades Federativas, Municipios y los organismos públicos?",Consiste en disminuir el impuesto a cargo por concepto de impuestos sobre la renta de retenciones de salarios e impuesto sustitutivo de crédito al salario.
¿Qué conceptos se contemplan para el cálculo del impuesto?,1.-  Impuesto causado del mes.2.- Impuesto efectivamente enterado del mes = excedente del ISR que será base para aplicar los porcentajes del estímulo.
¿Qué deben hacer los Municipios y otros organismos públicos para adherirse al convenio?,Pueden adherirse al convenio correspondiente a la Entidad Federativa o bien celebrar su propio convenio por escrito ante la Unidad de Coordinación con Entidades Federativas de la Secretaría de Hacienda y Crédito Público.
¿El proceso de cancelación de un CFDI cambia dependiendo de la versión en que se emitió el CFDI?,"No, no cambia. Los emisores que requieran cancelar un comprobante deben enviar la solicitud de cancelación a través del Portal del SAT o de los servicios de un Proveedor de Certificación, utilizando su Certificado de Sello Digital, independientemente de la versión que se haya emitido la factura (3.2, 3.3 o 4.0).A partir del 1 de enero de 2022, en todas las solicitudes de cancelación se debe manifestar el “Motivo” de la cancelación, conforme a las siguientes claves:“01” Comprobantes emitidos con errores con relación.“02” Comprobantes emitidos con errores sin relación.“03” No se llevó a cabo la operación.“04” Operación nominativa relacionada en una factura global.En caso de realizar la sustitución del comprobante, se debe señalar la clave “01” Comprobantes emitidos con errores con relación y manifestar el folio fiscal del comprobante que lo sustituye.Los contribuyentes pueden cancelar una factura sin que se requiera la aceptación del receptor en los siguientes supuestos:Facturas que amparen un monto total de hasta $1,000.00 (M.N.)NóminaEgresoTrasladoCFDI de ingreso expedido a contribuyentes del RIFEmitidos en Mis cuentasCFDI de retenciones e información de pagosOperaciones con público en generalEmitidos a residentes en el extranjeroLa cancelación se realice dentro de las 24 horas a la emisión del comprobanteCFDI a través del adquirente y sector primario (reglas 2.7.3.10 y 2.7.4.1 de la RMF)CFDI emitidos por integrantes del sistema financieroEmitidos por la Federación por concepto de DPA"
¿Cuánto tiempo tiene el receptor para aceptar o rechazar la solicitud de cancelación de una factura?,El receptor de la factura tiene tres días hábiles a partir del día siguiente a la recepción de la solicitud de cancelación para manifestar la aceptación o rechazo de la solicitud de cancelación a través del Portal del SAT.
¿Qué sucede si transcurrido el plazo para la aceptación o rechazo de la solicitud de cancelación de factura el receptor no responde?,"Si se trata de la primera solicitud de cancelación y el receptor no responde, se considera que acepta la solicitud y la factura será cancelada; si para las siguientes solicitudes de cancelación el receptor no se manifiesta, no procederá la cancelación de la factura, hasta que el receptor acepte la cancelación."
¿A partir de cuándo es obligatorio el uso del complemento Carta Porte que se incorpora al CFDI?,"El uso obligatorio del complemento Carta Porte inicia a partir del 01 de enero de 2022, para todas las personas físicas y morales que transporten bienes y/o mercancías en territorio nacional, incluso a través de sus propios medios.Las personas sujetas a utilizar el CFDI con Complemento Carta Porte, podrán utilizar la versión 2.0 de dicho complemento en los CFDI que emitan a partir del 01 de diciembre de 2021."
"Soy una empresa dedicada al traslado de bienes o mercancías, ¿es necesario expedir el CFDI con el complemento Carta Porte para el traslado de las mercancías o bienes en territorio nacional?","Sí, ya que únicamente mediante el archivo digital de un CFDI con el complemento Carta Porte o su representación impresa, podrás acreditar la tenencia y el traslado de los bienes y mercancías."
